"Species","Parameter","MLE","Lower.Lim","Upper.Lim","Lower.Bound","Upper.Bound"
"ACRU","aa",1,0.98,1,0,1
"ACRU","ab",0.00610088025697062,0.00561280983641297,0.00670087659644138,0,1000
"ACRU","gmax",9999.99998443703,9599.99998505955,10000,0,10000
"ACRU","ca",98.4544048254121,90.5780524393792,105.211128160524,0,2000
"ACRU","cb",14.5065848268037,9.86447768222654,21.2079400499815,0,1000
"ACRU","cc",5,4.55,5,0,5
"ACRU","cd",0.0869132385933766,0.0860441062074428,0.0878958559456579,0,5
"ACRU","ce",0,0,6.21353341701326e-26,0,1000
"ACRU","cf",255.761058398605,248.645837230633,265.991500734549,-100,1000
"ACRU","cg",-21.3864314752698,-21.995752127432,-20.8665514947778,-1000,1000
"ACRU","ta11",302.589181732599,250,325,250,325
"ACRU","ta12",250.080547067669,250,265.085379891729,250,325
"ACRU","ta13",273.766340916549,273.766340916549,273.766340916549,250,325
"ACRU","ta14",250.011815911112,250,325,250,325
"ACRU","ta15",299.654695604233,299.654695604233,299.654695604233,250,325
"ACRU","ta16",271.756592658856,271.756592658856,271.756592658856,250,325
"ACRU","tb11",207.050594122789,140.794404003496,500,0,500
"ACRU","tb12",74.2050506551912,66.7845455896721,139.777472854292,0,500
"ACRU","tb13",5.15232023257272,4.17337938838391,11.2884314616888,0,500
"ACRU","tb14",151.730820686727,106.211574480709,500,0,500
"ACRU","tb15",10.557190274499,10.134902663519,12.514961513401,0,500
"ACRU","tb16",9.36395654809462,9.27031698261368,9.75646538285614,0,500
"ACRU","pa11",414.981947872801,0,489.678698489906,0,500
"ACRU","pa12",80.5539999994931,64.4431999995945,99.8485159995164,0,500
"ACRU","pa13",282.936672890598,274.44857270388,298.789839246068,0,500
"ACRU","pa14",117.086146147487,93.6689169179899,137.086146147487,0,500
"ACRU","pa15",108.745226471332,93.5208947653453,128.745226471332,0,500
"ACRU","pa16",0.311536328753024,0,11.0548382976848,0,500
"ACRU","pb11",1048.0518852415,314.415565572451,2000,0,2000
"ACRU","pb12",103.951320563938,76.9239772173139,147.74341792281,0,2000
"ACRU","pb13",224.233913907204,208.5375399337,234.888510423761,0,2000
"ACRU","pb14",101.574279081581,63.9917958213957,207.886119453012,0,2000
"ACRU","pb15",94.8303059431249,65.4329111007562,181.502681659921,0,2000
"ACRU","pb16",142.809358512357,125.672235490874,159.094977229382,0,2000
"ACRU","pc1",0.795284017142622,0,1,0,1
"ACRU","sd",123.189924431385,115.804528965502,128.450784884797,0.1,1000
"BELE","aa",0.867279506819231,0,1,0,1
