"Year","PlotID","Site","Trans","Plot","TreeID","BAI","CoreID","Pith","Pith.Yr","Inner","Outer","Bark","Use","Notes","Pith.offset","Tree","Spp","Genus","Canopy","Live","Age","BA.m2ha","BAI.filled","BA.tree","Stems","Density.Ha","BAI.filled.plot","BA.plot","BA.m2ha.plot","Density.ha.plot","Stems.plot","BAI.m2ha.plot","BA.m2ha.plot.live","RelBA","Site.Trans","Latitude","Longitude","elev","flow","TPI","sol","sol.lag","Anomaly","Tavg","Precip.PRISM","Tavg.PRISM","Precip.PRISM.sum","BA.tree.cm2"
1990,"BLDA4","BLD","A",4,"BLDA408",770.8505,"BLDA408HI","N",1933,1939,2012,"Y","N","poor correlation w/ master",6,8,"QURU","Quercus","C","LIVE",57,0.3537683,770.8505,11114.31,1,31.83099,13920.99,8116.357,15.76474,700.2817,22,0.4431189,20.84607,0.1668677,"BLDA",37.91874,-79.84931,1146.93945492662,0.013427320754717,0.17303983228513,127071.01143163,127071.01143163,1.12121308246024,10.5609363578765,106.185,11.0862501263618,1274.22,111.1431
1990,"BLDA4","BLD","A",4,"BLDA410",112.0151,"BLDA410HI","Y",1982,1983,2012,"Y","Y","meaured",1,10,"BELE","Betula","I","LIVE",8,0.00933288,112.0151,293.2102,1,31.83099,13920.99,8116.357,15.76474,700.2817,22,0.4431189,20.84607,0.004402192,"BLDA",37.91874,-79.84931,1146.93945492662,0.013427320754717,0.17303983228513,127071.01143163,127071.01143163,1.12121308246024,10.5609363578765,106.185,11.0862501263618,1274.22,2.932102
1990,"BLDB1","BLD","B",1,"BLDB133",118.4179,"BLDB133HI","N",1939,1940,2012,"Y","Y","false ring in 1952",1,33,"BELE","Betula","I","LIVE",51,0.1200001,118.4179,3770.032,1,31.83099,9110.495,5306.921,13.23081,827.6057,26,0.2899961,14.42244,0.07054577,"BLDB",37.91899,-79.84276,994.130442091108,0.0321127080181543,0.0212430660615305,119858.064017565,119858.064017565,1.12121308246024,11.6218656980807,106.185,11.0862501263618,1274.22,37.70032
1990,"BLDB1","BLD","B",1,"BLDB137",51.68132,"BLDB137HI","Y",1940,1941,2012,"Y","N","poor correlation w/ Master",1,37,"NYSY","Nyssa","U","LIVE",50,0.06916703,51.68132,2173.014,1,31.83099,9110.495,5306.921,13.23081,827.6057,26,0.2899961,14.42244,0.04066197,"BLDB",37.91899,-79.84276,994.130442091108,0.0321127080181543,0.0212430660615305,119858.064017565,119858.064017565,1.12121308246024,11.6218656980807,106.185,11.0862501263618,1274.22,21.73014
1990,"BLDB2","BLD","B",2,"BLDB210",906.3397,"BLDB210HI","N",1936,1953,2012,"Y","Y","ring file in 2 parts, 1976-1978 not measured",17,10,"QURU","Quercus","C","LIVE",54,0.5822968,906.3397,18293.96,1,31.83099,15444.8,8514.444,15.12022,1145.916,36,0.4916232,23.89591,0.1734263,"BLDB",37.91985,-79.84246,997.512117400419,0.034882641509434,-0.0961635220125708,119731.72392544,119731.72392544,1.12121308246024,11.6960729173828,106.185,11.0862501263618,1274.22,182.9396
1990,"BLDB2","BLD","B",2,"BLDB237",2117.7,"BLDB237HI","N",1845,1865,2012,"Y","Y","lots of error on pith est",20,37,"QUPR","Quercus","D","LIVE",145,3.357605,2117.7,105485.5,1,31.83099,15444.8,8514.444,15.12022,1145.916,36,0.4916232,23.89591,1,"BLDB",37.91985,-79.84246,997.512117400419,0.034882641509434,-0.0961635220125708,119731.72392544,119731.72392544,1.12121308246024,11.6960729173828,106.185,11.0862501263618,1274.22,1054.855
1990,"BLDC2","BLD","C",2,"BLDC232",210.5685,"BLDC232HI","Y",1941,1943,2012,"Y","Y","can't measure to pith",2,32,"NYSY","Nyssa","U","LIVE",49,0.06406168,210.5685,2012.62,1,31.83099,11688.37,5222.151,13.60792,954.9297,30,0.3720524,14.99439,0.03894882,"BLDC",37.91423,-79.8396,866.701798621617,0.0382064296520424,-0.136115313498066,118509.65576795,118509.65576795,1.12121308246024,11.9010052048726,106.185,11.0862501263618,1274.22,20.1262
1990,"BLDC3","BLD","C",3,"BLDC303",98.72047,"BLDC303HI","Y",1934,1935,2012,"Y","N","poor correlation; pull from analysis",1,3,"NYSY","Nyssa","I","LIVE",56,0.09436569,98.72047,2964.678,1,31.83099,3707.407,2993.495,2.886845,859.4367,27,0.1180104,4.816028,0.1440076,"BLDC",37.91517,-79.83977,880.148512355018,0.0388048411497731,-0.113580013447638,119166.485413846,119166.485413846,1.12121308246024,12.0330907887741,106.185,11.0862501263618,1274.22,29.64678
1990,"BLDC4","BLD","C",4,"BLDC437",27.6834,"BLDC437HI","N",1932,1934,2009,"Y","Y","dead or broken outside",2,37,"QUPR","Quercus","I","LIVE",58,0.1986553,27.6834,6241.133,1,31.83099,8260.265,4764.966,14.20284,859.4367,27,0.2629324,14.50827,0.1417839,"BLDC",37.91554,-79.83873,868.618903971845,0.0416606334841629,-0.0971803251215027,118333.398439375,118333.398439375,1.12121308246024,11.9674417998308,106.185,11.0862501263618,1274.22,62.41133
1990,"FLTB2","FLT","B",2,"FLTB204",91.80393,"FLTB204HI","Y",1953,1954,2013,"Y","N","poor correlation",1,4,"QURU","Quercus","U","LIVE",37,0.0356821,91.80393,1121.021,1,31.83099,13445.82,4331.581,13.66629,891.2677,28,0.4279937,14.11023,0.01806872,"FLTB",37.23649,-80.85878,1006.10094850949,0.0315926067073171,-0.0417407689701902,129249.492407312,129249.492407312,1.12121308246024,11.6701709264837,113.961666666667,11.0541667143504,1367.54,11.21021
1990,"HIKA1","HIK","A",1,"HIKA112",2178.603,"HIKA112HI","Y",1889,1890,2012,"Y","Y","break at 1931, 2 missing rings",1,12,"QURU","Quercus","C","LIVE",101,0.9471459,2178.603,66936.11,1,14.14711,23098.57,16604.92,17.97307,537.59,38,0.326778,21.13155,0.311389,"HIKA",38.56657,-79.16857,1094.13162265404,0.00832937219730942,0.205675967447272,112267.135530654,112267.135530654,1.12121308246024,11.202206257067,87.9691666666667,10.3183332284292,1055.63,669.3611
1990,"HIKA1","HIK","A",1,"HIKA124",678.5305,"HIKA124HI","N",1914,1916,2012,"Y","Y","not sure of pith est",2,24,"QURU","Quercus","C","LIVE",76,1.114592,678.5305,78769.74,1,14.14711,23098.57,16604.92,17.97307,537.59,38,0.326778,21.13155,0.3664394,"HIKA",38.56657,-79.16857,1094.13162265404,0.00832937219730942,0.205675967447272,112267.135530654,112267.135530654,1.12121308246024,11.202206257067,87.9691666666667,10.3183332284292,1055.63,787.6974
1990,"HIKA2","HIK","A",2,"HIKA220",192.2627,"HIKA220HI","N",1928,1931,2012,"Y","N","poor corr w/ master",3,20,"ACRU","Acer","I","LIVE",62,0.09318254,192.2627,4216.404,1,22.10485,19959.97,12807.57,18.49277,442.0971,20,0.4412122,25.31082,0.02591171,"HIKA",38.56745,-79.16833,1097.45767195767,0.00850915178571428,0.180565889550272,110109.96578086,110109.96578086,1.12121308246024,10.9804182858507,87.9691666666667,10.3183332284292,1055.63,42.16404
1990,"HIKA3","HIK","A",3,"HIKA311",1813.526,"HIKA311HI","N",1833,1838,2012,"Y","Y","tentative pith date",5,11,"QURU","Quercus","C","LIVE",157,3.259911,1813.526,230382.4,1,14.14711,17587.31,18372.22,18.37787,183.9124,13,0.2488095,27.50751,0.6398788,"HIKA",38.56833,-79.16862,1102.64975124378,0.00787902985074627,0.209981343283589,108006.020702228,108006.020702228,1.12121308246024,10.6175065060858,87.9691666666667,10.3183332284292,1055.63,2303.824
1990,"HIKB3","HIK","B",3,"HIKB321",65.94871,"HIKB321HI","Y",1928,1929,2012,"Y","N","poor corr w/ master",1,21,"ACRU","Acer","U","LIVE",62,0.07537536,65.94871,2368.06,1,31.83099,10164.81,8885.231,11.23463,1050.423,33,0.323556,19.47527,0.02064726,"HIKB",38.57215,-79.15678,907.026304870965,0.0383948469006721,0.238507177827566,99481.9866625328,99481.9866625328,1.12121308246024,10.8071195072799,87.9691666666667,10.3183332284292,1055.63,23.6806
