Note: [none]
Total # of Iterations:	1e+05	
Sample size:	372	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-2315.167	36	4710.285	4702.333	1.006805	0.6927366	
Model:	overall.model
PDF:	dnorm
Support interval range:	1.92

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
aa	1	0.98	1	N/A	0	1	1	
ab	0.00610088	0.00561281	0.006700877	N/A	0	1000	0.0008049339	
gmax	10000	9600	10000	N/A	0	10000	274.2342	
ca	98.4544	90.57805	105.2111	N/A	0	2000	26.88595	
cb	14.50658	9.864478	21.20794	N/A	0	1000	4.748208	
cc	5	4.55	5	N/A	0	5	2.4	
cd	0.08691324	0.08604411	0.08789586	N/A	0	5	0.0009871314	
ce	0	0	6.213533e-26	N/A	0	1000	800	
cf	255.7611	248.6458	265.9915	N/A	-100	1000	6.323161	
cg	-21.38643	-21.99575	-20.86655	N/A	-1000	1000	0.3726405	
ta11	302.5892	250	325	N/A	250	325	75	
ta12	250.0805	250	265.0854	N/A	250	325	75	
ta13	273.7663	273.7663	273.7663	N/A	250	325	0.6262893	
ta14	250.0118	250	325	N/A	250	325	75	
ta15	299.6547	299.6547	299.6547	N/A	250	325	75	
ta16	271.7566	271.7566	271.7566	N/A	250	325	0.2829255	
tb11	207.0506	140.7944	500	N/A	0	500	500	
tb12	74.20505	66.78455	139.7775	N/A	0	500	500	
tb13	5.15232	4.173379	11.28843	N/A	0	500	0.721875	
tb14	151.7308	106.2116	500	N/A	0	500	500	
tb15	10.55719	10.1349	12.51496	N/A	0	500	500	
tb16	9.363957	9.270317	9.756465	N/A	0	500	0.2986438	
pa11	414.9819	0	489.6787	N/A	0	500	500	
pa12	80.554	64.4432	99.84852	N/A	0	500	11.70787	
pa13	282.9367	274.4486	298.7898	N/A	0	500	25.66356	
pa14	117.0861	93.66892	137.0861	N/A	0	500	333.3333	
pa15	108.7452	93.52089	128.7452	N/A	0	500	400	
pa16	0.3115363	0	11.05484	N/A	0	500	375	
pb11	1048.052	314.4156	2000	N/A	0	2000	2000	
pb12	103.9513	76.92398	147.7434	N/A	0	2000	16.20967	
pb13	224.2339	208.5375	234.8885	N/A	0	2000	5.412676	
pb14	101.5743	63.9918	207.8861	N/A	0	2000	1333.333	
pb15	94.83031	65.43291	181.5027	N/A	0	2000	2000	
pb16	142.8094	125.6722	159.095	N/A	0	2000	7.469952	
pc1	0.795284	0	1	N/A	0	1	1	
sd	123.1899	115.8045	128.4508	N/A	0.1	1000	5.258719	

Non-varying parameters:
Label	Value
SIZE	BA.tree.cm2	
BA.PLOT	BA.m2ha.plot.live	
RS	RelBA	
TEMP	[dataset removed]	
PRECIP	[dataset removed]	
FLOW	flow	
x	BAI	
mean	predicted	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
3	0.95	20	100

Variance - Covariance Matrix:
[could not be calculated - Hessian matrix is singular]

Source data
Year	PlotID	TreeID	Site	Trans	Plot	BAI	CoreID	Pith	Pith.Yr	Inner	Outer	Bark	Use	Notes	Pith.offset	Tree	Spp	Genus	Canopy	Live	Age	BA.m2ha	BAI.filled	BA.tree	Stems	Density.Ha	BAI.filled.plot	BA.plot	BA.m2ha.plot	Density.ha.plot	Stems.plot	BAI.m2ha.plot	BA.m2ha.plot.live	RelBA	Site.Trans	Latitude	Longitude	elev	flow	TPI	Tavg.X01	Tavg.X02	Tavg.X03	Tavg.X04	Tavg.X05	Tavg.X06	Tavg.X07	Tavg.X08	Tavg.X09	Tavg.X10	Tavg.X11	Tavg.X12	Tavg.X01.prev	Tavg.X02.prev	Tavg.X03.prev	Tavg.X04.prev	Tavg.X05.prev	Tavg.X06.prev	Tavg.X07.prev	Tavg.X08.prev	Tavg.X09.prev	Tavg.X10.prev	Tavg.X11.prev	Tavg.X12.prev	Precip.X01	Precip.X02	Precip.X03	Precip.X04	Precip.X05	Precip.X06	Precip.X07	Precip.X08	Precip.X09	Precip.X10	Precip.X11	Precip.X12	Precip.X01.prev	Precip.X02.prev	Precip.X03.prev	Precip.X04.prev	Precip.X05.prev	Precip.X06.prev	Precip.X07.prev	Precip.X08.prev	Precip.X09.prev	Precip.X10.prev	Precip.X11.prev	Precip.X12.prev	BA.tree.cm2	Tavg.pX06.pX08	Tavg.pX09.pX11	Tavg.pX12.X02	Tavg.X03.X05	Tavg.X06.X08	Tavg.X09.X11	Precip.pX06.pX08	Precip.pX09.pX11	Precip.pX12.X02	Precip.X03.X05	Precip.X06.X08	Precip.X09.X11	predicted	
1990	1	1	1	1	2	192.2627	1	1	1928	1931	2012	2	1	12	3	20	1	1	2	1	62	0.09318254	192.2627	4216.404	1	22.10485	19959.97	12807.57	18.49277	442.0971	20	0.4412122	25.31082	0.02591171	1	38.56745	-79.16833	1097.458	0.008509152	0.1805659	276.8344	277.6067	280.1115	282.1354	286.1657	290.6735	292.4428	292.0039	288.8922	284.9031	280.5482	277.2478	275.8166	273.8109	278.972	281.0868	285.0091	291.1441	292.5463	291.5713	288.9898	284.2061	277.9293	267.1357	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	62.54	49.98	110.04	90.67	146.24	152.63	164.73	184.86	107.82	92.57	76.21	50.44	42.16404	291.7539	283.7084	273.8589	282.8042	291.7067	284.7812	167.4067	92.2	57.96333	85.46	95.66667	89.76	68.12654	
1990	2	2	1	2	3	65.94871	2	2	1928	1929	2012	2	1	12	1	21	1	1	3	1	62	0.07537536	65.94871	2368.06	1	31.83099	10164.81	8885.231	11.23463	1050.423	33	0.323556	19.47527	0.02064726	2	38.57215	-79.15678	907.0263	0.03839485	0.2385072	276.9587	277.2323	279.1996	281.6431	286.0769	290.7863	292.7132	292.1675	288.7391	284.4863	280.287	277.1953	275.9332	273.4513	278.1405	280.6866	284.9242	291.2415	292.8187	291.7273	288.8317	283.812	277.8667	267.4911	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	62.54	49.98	110.04	90.67	146.24	152.63	164.73	184.86	107.82	92.57	76.21	50.44	23.6806	291.9292	283.5035	273.894	282.3066	291.889	284.5041	167.4067	92.2	57.96333	85.46	95.66667	89.76	71.76503	
1990	2	3	1	2	3	45.03096	3	1	1930	1936	2012	2	2	2	6	33	1	1	2	1	60	0.07669892	45.03096	2409.642	1	31.83099	10164.81	8885.231	11.23463	1050.423	33	0.323556	19.47527	0.02100981	2	38.57215	-79.15678	907.0263	0.03839485	0.2385072	276.9587	277.2323	279.1996	281.6431	286.0769	290.7863	292.7132	292.1675	288.7391	284.4863	280.287	277.1953	275.9332	273.4513	278.1405	280.6866	284.9242	291.2415	292.8187	291.7273	288.8317	283.812	277.8667	267.4911	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	62.54	49.98	110.04	90.67	146.24	152.63	164.73	184.86	107.82	92.57	76.21	50.44	24.09642	291.9292	283.5035	273.894	282.3066	291.889	284.5041	167.4067	92.2	57.96333	85.46	95.66667	89.76	72.93487	
1990	3	4	1	2	4	60.26329	4	1	1934	1937	2012	2	2	8	3	9	1	1	3	1	56	0.06466648	60.26329	2031.621	1	31.83099	7055.469	6016.441	14.00252	668.4508	21	0.2245826	17.05673	0.01139556	2	38.57218	-79.15804	926.1224	0.01491629	0.2631035	277.1085	277.1045	278.8842	281.3066	285.781	290.5457	292.5046	291.9267	288.4866	284.3112	280.2672	277.3356	276.0889	273.336	277.8228	280.3376	284.6108	291.0038	292.6129	291.479	288.5801	283.6371	277.8242	267.5405	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	62.54	49.98	110.04	90.67	146.24	152.63	164.73	184.86	107.82	92.57	76.21	50.44	20.31621	291.6986	283.3471	273.9179	281.9906	291.659	284.355	167.4067	92.2	57.96333	85.46	95.66667	89.76	74.6978	
1990	3	5	1	2	4	84.81955	5	2	1920	1921	2012	2	2	1	1	13	1	1	2	1	70	0.1344647	84.81955	4224.465	1	31.83099	7055.469	6016.441	14.00252	668.4508	21	0.2245826	17.05673	0.02369544	2	38.57218	-79.15804	926.1224	0.01491629	0.2631035	277.1085	277.1045	278.8842	281.3066	285.781	290.5457	292.5046	291.9267	288.4866	284.3112	280.2672	277.3356	276.0889	273.336	277.8228	280.3376	284.6108	291.0038	292.6129	291.479	288.5801	283.6371	277.8242	267.5405	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	62.54	49.98	110.04	90.67	146.24	152.63	164.73	184.86	107.82	92.57	76.21	50.44	42.24465	291.6986	283.3471	273.9179	281.9906	291.659	284.355	167.4067	92.2	57.96333	85.46	95.66667	89.76	145.5827	
1990	3	6	1	2	4	87.13678	6	1	1930	1933	2008	2	1	12	3	20	1	1	3	1	60	0.04011024	87.13678	1260.139	1	31.83099	7055.469	6016.441	14.00252	668.4508	21	0.2245826	17.05673	0.007068246	2	38.57218	-79.15804	926.1224	0.01491629	0.2631035	277.1085	277.1045	278.8842	281.3066	285.781	290.5457	292.5046	291.9267	288.4866	284.3112	280.2672	277.3356	276.0889	273.336	277.8228	280.3376	284.6108	291.0038	292.6129	291.479	288.5801	283.6371	277.8242	267.5405	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	62.54	49.98	110.04	90.67	146.24	152.63	164.73	184.86	107.82	92.57	76.21	50.44	12.60139	291.6986	283.3471	273.9179	281.9906	291.659	284.355	167.4067	92.2	57.96333	85.46	95.66667	89.76	47.41689	
1990	4	7	1	3	3	267.8406	7	1	1972	1974	2012	2	2	7	2	13	1	1	2	1	18	0.2528503	267.8406	7943.772	1	31.83099	19934.94	7189.073	8.415987	1082.254	34	0.6345488	9.423314	0.2346155	3	38.57377	-79.15203	823.6949	0.0948027	-0.1571265	276.5095	278.0722	280.7237	283.1934	287.4765	292.064	293.9051	293.4285	290.0445	285.5706	280.8698	277.2088	275.4913	274.3183	279.656	282.2282	286.3799	292.5113	294.0034	293.0053	290.1369	284.8889	278.4511	267.6826	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	62.54	49.98	110.04	90.67	146.24	152.63	164.73	184.86	107.82	92.57	76.21	50.44	79.43772	293.1734	284.4923	274.0881	283.7978	293.1325	285.495	167.4067	92.2	57.96333	85.46	95.66667	89.76	349.1497	
1990	5	11	1	3	4	287.1907	11	1	1971	1973	2012	2	2	9	2	21	1	1	1	1	19	0.1438261	287.1907	4518.57	1	31.83099	19665.02	8619.802	7.290653	1305.071	41	0.625957	9.781658	0.1892611	3	38.57328	-79.15099	812.1907	0.09776669	-0.1087618	276.7172	278.3542	281.1053	283.5182	287.7538	292.3137	294.1372	293.6735	290.3082	285.8274	281.0836	277.3818	275.7039	274.6233	280.0385	282.5516	286.6701	292.7593	294.2341	293.2536	290.4004	285.1461	278.6663	267.9111	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	62.54	49.98	110.04	90.67	146.24	152.63	164.73	184.86	107.82	92.57	76.21	50.44	45.1857	293.4157	284.7376	274.3275	284.1258	293.3748	285.7397	167.4067	92.2	57.96333	85.46	95.66667	89.76	208.8708	
1990	5	10	1	3	4	431.8304	10	2	1971	1972	2012	2	2	5	1	17	1	1	1	1	19	0.2100324	431.8304	6598.566	1	31.83099	19665.02	8619.802	7.290653	1305.071	41	0.625957	9.781658	0.276382	3	38.57328	-79.15099	812.1907	0.09776669	-0.1087618	276.7172	278.3542	281.1053	283.5182	287.7538	292.3137	294.1372	293.6735	290.3082	285.8274	281.0836	277.3818	275.7039	274.6233	280.0385	282.5516	286.6701	292.7593	294.2341	293.2536	290.4004	285.1461	278.6663	267.9111	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	62.54	49.98	110.04	90.67	146.24	152.63	164.73	184.86	107.82	92.57	76.21	50.44	65.98566	293.4157	284.7376	274.3275	284.1258	293.3748	285.7397	167.4067	92.2	57.96333	85.46	95.66667	89.76	288.5821	
1990	5	8	1	3	4	552.3391	8	1	1972	1977	2012	2	2	9	5	5	1	1	2	1	18	0.3170981	552.3391	9962.241	1	31.83099	19665.02	8619.802	7.290653	1305.071	41	0.625957	9.781658	0.4172701	3	38.57328	-79.15099	812.1907	0.09776669	-0.1087618	276.7172	278.3542	281.1053	283.5182	287.7538	292.3137	294.1372	293.6735	290.3082	285.8274	281.0836	277.3818	275.7039	274.6233	280.0385	282.5516	286.6701	292.7593	294.2341	293.2536	290.4004	285.1461	278.6663	267.9111	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	62.54	49.98	110.04	90.67	146.24	152.63	164.73	184.86	107.82	92.57	76.21	50.44	99.62241	293.4157	284.7376	274.3275	284.1258	293.3748	285.7397	167.4067	92.2	57.96333	85.46	95.66667	89.76	409.9051	
