Note: [none]
Total # of Iterations:	1e+05	
Sample size:	110	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-634.5625	36	1377.618	1341.125	1.011272	0.7058615	
Model:	overall.model
PDF:	dnorm
Support interval range:	1.92

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
aa	0.8672795	0	1	N/A	0	1	0.8	
ab	0.1902302	0	1000	N/A	0	1000	0.1679341	
gmax	10000	9700	10000	N/A	0	10000	10000	
ca	80.40784	79.60376	85.85518	N/A	0	2000	13.01428	
cb	25.73278	24.96079	28.19597	N/A	0	1000	32.17395	
cc	3.26507	3.167117	3.299768	N/A	0	5	0.3022741	
cd	0.005532581	0.005477255	0.005532581	N/A	0	5	7.927101e-05	
ce	9.529044e-320	2.796412e-321	2.362525e-313	N/A	0	1000	3.726981e-286	
cf	311.8725	308.7538	311.8725	N/A	-100	1000	9.946874	
cg	-298.8825	-302.3473	-294.1461	N/A	-1000	1000	2.200632	
ta11	307.7608	307.7608	307.7608	N/A	250	325	75	
ta12	280.4469	280.4469	280.4469	N/A	250	325	0.3287247	
ta13	250	250	250	N/A	250	325	75	
ta14	283.5347	283.5347	283.5347	N/A	250	325	0.2958268	
ta15	301.3426	301.3426	301.3426	N/A	250	325	0.2976047	
ta16	250.9069	250	325	N/A	250	325	75	
tb11	16.22226	15.7356	16.54671	N/A	0	500	500	
tb12	4.079866	3.95747	4.17905	N/A	0	500	0.2366046	
tb13	39.72683	36.94595	42.36246	N/A	0	500	500	
tb14	2.313876	2.082488	2.482829	N/A	0	500	0.5593203	
tb15	5.528088	5.472807	5.528088	N/A	0	500	0.1558668	
tb16	339.9154	129.1679	500	N/A	0	500	24.87852	
pa11	127.5108	126.2357	130.061	N/A	0	500	6.064543	
pa12	475.4619	432.6703	500	N/A	0	500	500	
pa13	106.1342	102.9502	107.1955	N/A	0	500	8.059424	
pa14	0.003182733	0	237.6745	N/A	0	500	500	
pa15	362.2787	307.9369	423.8661	N/A	0	500	357.1429	
pa16	76.5604	75.0292	80.71352	N/A	0	500	8.357714	
pb11	49.34461	47.37083	51.3184	N/A	0	2000	5.653665	
pb12	862.7262	767.8263	962.3354	N/A	0	2000	2000	
pb13	50.87848	49.35213	54.43997	N/A	0	2000	8.62715	
pb14	616.2308	320.44	2000	N/A	0	2000	2000	
pb15	776.1995	636.4836	987.5315	N/A	0	2000	29.78349	
pb16	57.26319	54.40003	61.14867	N/A	0	2000	8.840212	
pc1	0.008153213	0	0.07460695	N/A	0	1	1	
sd	78.3437	75.21395	82.03033	N/A	0.1	1000	10.10604	

Non-varying parameters:
Label	Value
SIZE	BA.tree.cm2	
BA.PLOT	BA.m2ha.plot.live	
RS	RelBA	
TEMP	[dataset removed]	
PRECIP	[dataset removed]	
FLOW	flow	
x	BAI	
mean	predicted	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
3	0.95	20	100

Variance - Covariance Matrix:
[could not be calculated - Hessian matrix is singular]

Source data
Year	PlotID	TreeID	Site	Trans	Plot	BAI	CoreID	Pith	Pith.Yr	Inner	Outer	Bark	Use	Notes	Pith.offset	Tree	Spp	Genus	Canopy	Live	Age	BA.m2ha	BAI.filled	BA.tree	Stems	Density.Ha	BAI.filled.plot	BA.plot	BA.m2ha.plot	Density.ha.plot	Stems.plot	BAI.m2ha.plot	BA.m2ha.plot.live	RelBA	Site.Trans	Latitude	Longitude	elev	flow	TPI	Tavg.X01	Tavg.X02	Tavg.X03	Tavg.X04	Tavg.X05	Tavg.X06	Tavg.X07	Tavg.X08	Tavg.X09	Tavg.X10	Tavg.X11	Tavg.X12	Tavg.X01.prev	Tavg.X02.prev	Tavg.X03.prev	Tavg.X04.prev	Tavg.X05.prev	Tavg.X06.prev	Tavg.X07.prev	Tavg.X08.prev	Tavg.X09.prev	Tavg.X10.prev	Tavg.X11.prev	Tavg.X12.prev	Precip.X01	Precip.X02	Precip.X03	Precip.X04	Precip.X05	Precip.X06	Precip.X07	Precip.X08	Precip.X09	Precip.X10	Precip.X11	Precip.X12	Precip.X01.prev	Precip.X02.prev	Precip.X03.prev	Precip.X04.prev	Precip.X05.prev	Precip.X06.prev	Precip.X07.prev	Precip.X08.prev	Precip.X09.prev	Precip.X10.prev	Precip.X11.prev	Precip.X12.prev	BA.tree.cm2	Tavg.pX06.pX08	Tavg.pX09.pX11	Tavg.pX12.X02	Tavg.X03.X05	Tavg.X06.X08	Tavg.X09.X11	Precip.pX06.pX08	Precip.pX09.pX11	Precip.pX12.X02	Precip.X03.X05	Precip.X06.X08	Precip.X09.X11	predicted	
1990	1	1	1	1	4	112.0151	1	2	1982	1983	2012	1	2	4	1	10	1	1	2	1	8	0.00933288	112.0151	293.2102	1	31.83099	13920.99	8116.357	15.76474	700.2817	22	0.4431189	20.84607	0.004402192	1	37.91874	-79.84931	1146.939	0.01342732	0.1730398	274.3585	275.4004	279.2866	282.7861	287.3289	291.435	293.1359	292.7526	289.3678	284.3822	279.2371	275.06	273.4305	272.0052	278.2654	281.8385	286.3336	291.8859	293.2211	292.3449	289.4471	283.7793	276.7884	266.0709	97.85	94.84	66.13	98.98	164.44	54.84	135.72	93.45	51.64	239.31	40.44	136.58	64.67	118.16	118.86	137.43	205.95	171.94	165.92	116.36	190.39	126.37	78.89	47.12	2.932102	292.484	283.3383	271.9433	283.1339	292.4412	284.329	151.4067	131.8833	79.93667	109.85	94.67	110.4633	85.75947	
1990	2	2	1	2	1	118.4179	2	1	1939	1940	2012	1	2	3	1	33	1	1	2	1	51	0.1200001	118.4179	3770.032	1	31.83099	9110.495	5306.921	13.23081	827.6057	26	0.2899961	14.42244	0.07054577	2	37.91899	-79.84276	994.1304	0.03211271	0.02124307	276.024	277.3024	280.8655	283.6193	287.7749	292.0156	293.754	293.3561	290.1398	285.4807	280.4558	276.4743	275.0595	273.7602	279.8046	282.6377	286.7301	292.4719	293.8455	292.9444	290.2273	284.8338	277.9992	267.2945	97.85	94.84	66.13	98.98	164.44	54.84	135.72	93.45	51.64	239.31	40.44	136.58	64.67	118.16	118.86	137.43	205.95	171.94	165.92	116.36	190.39	126.37	78.89	47.12	37.70032	293.0872	284.3534	273.5403	284.0866	293.0419	285.3588	151.4067	131.8833	79.93667	109.85	94.67	110.4633	164.3647	
1990	3	3	2	3	2	499.796	3	1	1809	1815	2012	1	2	2	6	2	1	1	1	1	181	2.538845	499.796	79762.64	1	31.83099	15782.89	8827.292	25.05038	763.9437	24	0.5023851	27.15227	0.540835	3	38.57435	-79.15297	834.3569	0.09192425	-0.1018449	276.3626	277.8103	280.3592	282.8763	287.2003	291.8145	293.6731	293.1847	289.7872	285.3199	280.6765	277.0592	275.3409	274.0386	279.2908	281.9114	286.0891	292.2642	293.7731	292.7579	289.8798	284.638	278.257	267.4924	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	62.54	49.98	110.04	90.67	146.24	152.63	164.73	184.86	107.82	92.57	76.21	50.44	797.6264	292.9317	284.2583	273.8884	283.4786	292.8908	285.2612	167.4067	92.2	57.96333	85.46	95.66667	89.76	399.0296	
1990	3	4	2	3	2	153.7349	4	2	1969	1970	2012	1	1	5	1	6	1	1	2	1	21	0.1026165	153.7349	3223.892	1	31.83099	15782.89	8827.292	25.05038	763.9437	24	0.5023851	27.15227	0.02185978	3	38.57435	-79.15297	834.3569	0.09192425	-0.1018449	276.3626	277.8103	280.3592	282.8763	287.2003	291.8145	293.6731	293.1847	289.7872	285.3199	280.6765	277.0592	275.3409	274.0386	279.2908	281.9114	286.0891	292.2642	293.7731	292.7579	289.8798	284.638	278.257	267.4924	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	62.54	49.98	110.04	90.67	146.24	152.63	164.73	184.86	107.82	92.57	76.21	50.44	32.23892	292.9317	284.2583	273.8884	283.4786	292.8908	285.2612	167.4067	92.2	57.96333	85.46	95.66667	89.76	109.9158	
1990	4	5	3	1	2	69.14528	5	2	1954	1955	2012	1	2	1	1	22	1	1	3	1	36	0.1529735	69.14528	4805.954	1	31.83099	12535.55	6740.045	16.71165	954.9297	30	0.399019	21.17347	0.06930901	4	37.71701	-80.1116	885.8552	0.0074163	0.2365007	276.7263	276.5836	278.1053	280.6715	285.2705	290.172	292.2791	291.572	288.0678	283.907	279.9919	277.1234	275.7181	272.8459	277.0578	279.6957	284.0507	290.6377	292.3942	291.1066	288.1622	283.2379	277.5732	267.3907	80.78	110.79	64.56	70.44	160.73	51.81	96.86	97.67	62.72	183.96	37.63	126.85	72.72	51.43	72.87	102.91	142.35	171.06	150.91	108.13	219.51	119.4	77.32	66.47	48.05954	291.3795	282.9911	273.5669	281.3491	291.3411	283.9889	143.3667	138.7433	86.01333	98.57667	82.11333	94.77	97.92353	
1991	1	1	1	1	4	74.21573	1	2	1982	1983	2012	1	2	4	1	10	1	1	2	1	9	0.01169517	74.21573	367.4259	1	31.83099	13053.3	8240.74	16.07851	700.2817	22	0.4154995	21.26157	0.00541462	1	37.91874	-79.84931	1146.939	0.01342732	0.1730398	271.3569	273.6574	278.2449	284.2668	290.6157	292.0538	294.0987	293.076	289.4317	284.0149	276.5931	274.1173	274.3585	275.4004	279.2866	282.7861	287.3289	291.435	293.1359	292.7526	289.3678	284.3822	279.2371	275.06	92.45	73.73	174.74	63.57	71.91	66.31	211.66	49.17	41.7	45.22	89.42	158.98	97.85	94.84	66.13	98.98	164.44	54.84	135.72	93.45	51.64	239.31	40.44	136.58	3.674259	292.4412	284.329	273.3581	284.3758	293.0762	283.3466	94.67	110.4633	100.92	103.4067	109.0467	58.78	102.0236	
1991	2	2	1	2	1	198.2106	2	1	1939	1940	2012	1	2	3	1	33	1	1	2	1	52	0.1263092	198.2106	3968.243	1	31.83099	9204.968	5406.706	13.48683	827.6057	26	0.2930032	14.71545	0.07262423	2	37.91899	-79.84276	994.1304	0.03211271	0.02124307	272.9046	275.4839	279.7832	285.1532	291.2255	292.6417	294.7878	293.6826	290.2102	285.0866	277.8033	275.5116	276.024	277.3024	280.8655	283.6193	287.7749	292.0156	293.754	293.3561	290.1398	285.4807	280.4558	276.4743	92.45	73.73	174.74	63.57	71.91	66.31	211.66	49.17	41.7	45.22	89.42	158.98	97.85	94.84	66.13	98.98	164.44	54.84	135.72	93.45	51.64	239.31	40.44	136.58	39.68243	293.0419	285.3588	274.9543	285.3873	293.704	284.3667	94.67	110.4633	100.92	103.4067	109.0467	58.78	126.7408	
1991	3	3	2	3	2	265.5287	3	1	1809	1815	2012	1	2	2	6	2	1	1	1	1	182	2.547296	265.5287	80028.16	1	31.83099	14032.41	8983.028	25.46395	795.7747	25	0.4466654	27.59893	0.5351846	3	38.57435	-79.15297	834.3569	0.09192425	-0.1018449	273.0579	275.874	279.2692	284.384	290.8702	292.4316	294.803	293.5233	289.8618	284.9045	278.0641	276.0558	276.3626	277.8103	280.3592	282.8763	287.2003	291.8145	293.6731	293.1847	289.7872	285.3199	280.6765	277.0592	98.16	39.86	166.17	76.41	69.39	47.03	153.15	87.28	34.01	23.36	62.53	142.7	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	800.2816	292.8908	285.2612	275.3304	284.8412	293.586	284.2768	95.66667	89.76	85.84667	103.99	95.82	39.96667	416.5202	
1991	3	4	2	3	2	155.0887	4	2	1969	1970	2012	1	1	5	1	6	1	1	2	1	22	0.107553	155.0887	3378.981	1	31.83099	14032.41	8983.028	25.46395	795.7747	25	0.4466654	27.59893	0.02259678	3	38.57435	-79.15297	834.3569	0.09192425	-0.1018449	273.0579	275.874	279.2692	284.384	290.8702	292.4316	294.803	293.5233	289.8618	284.9045	278.0641	276.0558	276.3626	277.8103	280.3592	282.8763	287.2003	291.8145	293.6731	293.1847	289.7872	285.3199	280.6765	277.0592	98.16	39.86	166.17	76.41	69.39	47.03	153.15	87.28	34.01	23.36	62.53	142.7	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	33.78981	292.8908	285.2612	275.3304	284.8412	293.586	284.2768	95.66667	89.76	85.84667	103.99	95.82	39.96667	115.3861	
1991	4	5	3	1	2	78.51531	5	2	1954	1955	2012	1	2	1	1	22	1	1	3	1	37	0.1554726	78.51531	4884.469	1	31.83099	13533.49	6904.423	17.09452	986.7606	31	0.4307843	21.60426	0.0691157	4	37.71701	-80.1116	885.8552	0.0074163	0.2365007	273.4653	274.6647	277.0367	282.1963	289.299	290.811	293.5797	291.9412	288.1438	283.4993	277.3803	276.1027	276.7263	276.5836	278.1053	280.6715	285.2705	290.172	292.2791	291.572	288.0678	283.907	279.9919	277.1234	92.41	45.91	197.24	69.37	93.25	58.81	139.16	79.64	27.37	22.36	98.51	128.04	80.78	110.79	64.56	70.44	160.73	51.81	96.86	97.67	62.72	183.96	37.63	126.85	48.84469	291.3411	283.9889	275.0845	282.844	292.1106	283.0078	82.11333	94.77	88.39	119.9533	92.53667	49.41333	97.66524	
