Note: [none]
Total # of Iterations:	1e+05	
Sample size:	242	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-1402.095	36	2889.186	2876.191	0.9979964	0.8586826	
Model:	overall.model
PDF:	dnorm
Support interval range:	1.92

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
aa	1	1	1	N/A	0	1	0.8	
ab	0.003311582	0.003146003	0.003444045	N/A	0	1000	9.220924e-05	
gmax	8910.172	8642.867	9177.477	N/A	0	10000	178.6458	
ca	1998.747	1519.048	2000	N/A	0	2000	2000	
cb	1000	750	1000	N/A	0	1000	666.6667	
cc	1.952239	1.913194	2.032717	N/A	0	5	0.07176478	
cd	0.01191406	0.0114375	0.01239063	N/A	0	5	0.0003300811	
ce	1.092629e-245	1.092629e-247	2.623934e-234	N/A	0	1000	1.362224e-233	
cf	868.215	54.91441	1000	N/A	-100	1000	1100	
cg	-990.549	-1000	-143.7839	N/A	-1000	1000	2000	
ta11	300.1795	300.1795	300.1795	N/A	250	325	0.5157672	
ta12	283.2973	283.2973	283.2973	N/A	250	325	0.5168572	
ta13	291.3306	291.3306	291.3306	N/A	250	325	0.2770181	
ta14	253.8385	250	325	N/A	250	325	75	
ta15	296.8677	296.8677	296.8677	N/A	250	325	0.2443125	
ta16	286.4461	286.4461	286.4461	N/A	250	325	0.7915894	
tb11	10.60085	10.17682	11.34291	N/A	0	500	1.204397	
tb12	3.789472	3.107367	5.514483	N/A	0	500	1.577465	
tb13	16.18242	15.85877	16.66789	N/A	0	500	0.2191411	
tb14	127.7457	89.42199	500	N/A	0	500	500	
tb15	6.930804	6.584264	7.493181	N/A	0	500	0.4274107	
tb16	9.879325	7.804667	16.25474	N/A	0	500	0.6538072	
pa11	320.6088	304.5783	331.3723	N/A	0	500	7.336975	
pa12	23.94039	4.30927	59.1688	N/A	0	500	500	
pa13	95.2893	86.71326	101.9596	N/A	0	500	6.10563	
pa14	496.7296	307.9723	500	N/A	0	500	500	
pa15	117.7038	112.9957	121.2349	N/A	0	500	3.98514	
pa16	0.2209869	0	281.3211	N/A	0	500	500	
pb11	300.0093	285.0088	323.8092	N/A	0	2000	11.41519	
pb12	220.4902	183.0068	340.1427	N/A	0	2000	29.58898	
pb13	80.25325	69.0178	99.45072	N/A	0	2000	18.44258	
pb14	1187.547	950.0379	2000	N/A	0	2000	2000	
pb15	60.10143	54.6923	66.9863	N/A	0	2000	8.002395	
pb16	780.0197	343.2087	2000	N/A	0	2000	2000	
pc1	8.862909e-05	0	1	N/A	0	1	1	
sd	79.41273	73.06772	86.77743	N/A	0.1	1000	3.702738	

Non-varying parameters:
Label	Value
SIZE	BA.tree.cm2	
BA.PLOT	BA.m2ha.plot.live	
RS	RelBA	
TEMP	[dataset removed]	
PRECIP	[dataset removed]	
FLOW	flow	
x	BAI	
mean	predicted	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
3	0.95	20	100

Variance - Covariance Matrix:
[could not be calculated - Hessian matrix is singular]

Source data
Year	PlotID	TreeID	Site	Trans	Plot	BAI	CoreID	Pith	Pith.Yr	Inner	Outer	Bark	Use	Notes	Pith.offset	Tree	Spp	Genus	Canopy	Live	Age	BA.m2ha	BAI.filled	BA.tree	Stems	Density.Ha	BAI.filled.plot	BA.plot	BA.m2ha.plot	Density.ha.plot	Stems.plot	BAI.m2ha.plot	BA.m2ha.plot.live	RelBA	Site.Trans	Latitude	Longitude	elev	flow	TPI	Tavg.X01	Tavg.X02	Tavg.X03	Tavg.X04	Tavg.X05	Tavg.X06	Tavg.X07	Tavg.X08	Tavg.X09	Tavg.X10	Tavg.X11	Tavg.X12	Tavg.X01.prev	Tavg.X02.prev	Tavg.X03.prev	Tavg.X04.prev	Tavg.X05.prev	Tavg.X06.prev	Tavg.X07.prev	Tavg.X08.prev	Tavg.X09.prev	Tavg.X10.prev	Tavg.X11.prev	Tavg.X12.prev	Precip.X01	Precip.X02	Precip.X03	Precip.X04	Precip.X05	Precip.X06	Precip.X07	Precip.X08	Precip.X09	Precip.X10	Precip.X11	Precip.X12	Precip.X01.prev	Precip.X02.prev	Precip.X03.prev	Precip.X04.prev	Precip.X05.prev	Precip.X06.prev	Precip.X07.prev	Precip.X08.prev	Precip.X09.prev	Precip.X10.prev	Precip.X11.prev	Precip.X12.prev	BA.tree.cm2	Tavg.pX06.pX08	Tavg.pX09.pX11	Tavg.pX12.X02	Tavg.X03.X05	Tavg.X06.X08	Tavg.X09.X11	Precip.pX06.pX08	Precip.pX09.pX11	Precip.pX12.X02	Precip.X03.X05	Precip.X06.X08	Precip.X09.X11	predicted	
1990	1	1	1	2	1	51.68132	1	2	1940	1941	2012	2	1	8	1	37	1	1	3	1	50	0.06916703	51.68132	2173.014	1	31.83099	9110.495	5306.921	13.23081	827.6057	26	0.2899961	14.42244	0.04066197	1	37.91899	-79.84276	994.1304	0.03211271	0.02124307	276.024	277.3024	280.8655	283.6193	287.7749	292.0156	293.754	293.3561	290.1398	285.4807	280.4558	276.4743	275.0595	273.7602	279.8046	282.6377	286.7301	292.4719	293.8455	292.9444	290.2273	284.8338	277.9992	267.2945	97.85	94.84	66.13	98.98	164.44	54.84	135.72	93.45	51.64	239.31	40.44	136.58	64.67	118.16	118.86	137.43	205.95	171.94	165.92	116.36	190.39	126.37	78.89	47.12	21.73014	293.0872	284.3534	273.5403	284.0866	293.0419	285.3588	151.4067	131.8833	79.93667	109.85	94.67	110.4633	101.1979	
1990	2	2	1	3	2	210.5685	2	2	1941	1943	2012	2	2	4	2	32	1	1	3	1	49	0.06406168	210.5685	2012.62	1	31.83099	11688.37	5222.151	13.60792	954.9297	30	0.3720524	14.99439	0.03894882	2	37.91423	-79.8396	866.7018	0.03820643	-0.1361153	276.2777	277.5919	280.9465	283.7441	288.0331	292.4164	294.2248	293.7763	290.4145	285.6928	280.722	276.772	275.3146	274.0395	279.8967	282.7687	286.9778	292.8685	294.3187	293.3567	290.502	285.042	278.3007	267.6715	97.85	94.84	66.13	98.98	164.44	54.84	135.72	93.45	51.64	239.31	40.44	136.58	64.67	118.16	118.86	137.43	205.95	171.94	165.92	116.36	190.39	126.37	78.89	47.12	20.1262	293.5146	284.6149	273.847	284.2412	293.4725	285.6098	151.4067	131.8833	79.93667	109.85	94.67	110.4633	94.48576	
1990	3	3	1	3	3	98.72047	3	2	1934	1935	2012	2	1	10	1	3	1	1	2	1	56	0.09436569	98.72047	2964.678	1	31.83099	3707.407	2993.495	2.886845	859.4367	27	0.1180104	4.816028	0.1440076	2	37.91517	-79.83977	880.1485	0.03880484	-0.11358	276.2041	277.65	281.179	284.0356	288.2681	292.5815	294.3568	293.9402	290.6209	285.8433	280.773	276.7446	275.2484	274.1419	280.1384	283.0667	287.2321	293.0323	294.4488	293.5261	290.7075	285.1992	278.3649	267.7401	97.85	94.84	66.13	98.98	164.44	54.84	135.72	93.45	51.64	239.31	40.44	136.58	64.67	118.16	118.86	137.43	205.95	171.94	165.92	116.36	190.39	126.37	78.89	47.12	29.64678	293.6691	284.7572	273.8647	284.4942	293.6262	285.7457	151.4067	131.8833	79.93667	109.85	94.67	110.4633	201.4811	
1990	4	4	2	1	3	887.7239	4	1	1927	1929	2012	2	2	5	2	21	1	1	1	1	63	0.3137938	887.7239	16664.57	1	18.8349	28409.32	10263.16	15.27488	640.3868	34	0.5350869	16.49527	0.0885811	3	38.31877	-79.2409	952.3546	0.006178378	0.287183	276.4339	276.7008	278.5425	280.9439	285.3609	290.2187	292.1899	291.5811	288.1972	284.1014	280.0259	276.9075	275.4172	272.8774	277.4314	279.9082	284.1275	290.6928	292.3041	291.1191	288.2953	283.4075	277.4841	266.8815	67.82	73.41	61.28	68.67	144.9	48.47	107.87	116.84	58.41	206.42	31.56	117.7	58.45	55.35	89.25	94.33	153.99	159.64	126.41	148.43	125.83	108.01	68.38	46.46	166.6457	291.372	283.0623	273.3387	281.6158	291.3299	284.1082	144.8267	100.74	62.56333	91.61667	91.06	98.79667	614.6218	
1990	4	5	2	1	3	96.99196	5	1	1938	1942	2012	2	1	6	4	23	1	1	2	1	52	0.1105156	96.99196	5869.124	1	18.8349	28409.32	10263.16	15.27488	640.3868	34	0.5350869	16.49527	0.03119753	3	38.31877	-79.2409	952.3546	0.006178378	0.287183	276.4339	276.7008	278.5425	280.9439	285.3609	290.2187	292.1899	291.5811	288.1972	284.1014	280.0259	276.9075	275.4172	272.8774	277.4314	279.9082	284.1275	290.6928	292.3041	291.1191	288.2953	283.4075	277.4841	266.8815	67.82	73.41	61.28	68.67	144.9	48.47	107.87	116.84	58.41	206.42	31.56	117.7	58.45	55.35	89.25	94.33	153.99	159.64	126.41	148.43	125.83	108.01	68.38	46.46	58.69124	291.372	283.0623	273.3387	281.6158	291.3299	284.1082	144.8267	100.74	62.56333	91.61667	91.06	98.79667	126.6225	
1990	5	6	2	2	2	60.87535	6	2	1929	1930	2012	2	1	7	1	28	1	1	3	1	61	0.03479751	60.87535	1574.548	1	22.10485	25344.11	9055.98	16.78317	663.1456	30	0.5602279	15.6628	0.01076947	4	38.31543	-79.22434	837.3021	0.01256754	0.06980967	275.3457	275.8496	278.2104	280.9463	285.5222	290.5005	292.5402	291.8662	288.3383	284.0303	279.6413	275.9144	274.3333	272.0208	277.1275	279.9333	284.2799	290.9715	292.6557	291.3986	288.435	283.3439	277.1808	266.1062	67.22	71.83	61.06	68.45	143.92	46.88	105.25	114.12	57.23	205.66	30.71	115.24	56.9	54.73	87.34	92.17	152.59	155.48	124.5	146.11	125.76	106.83	66	44.78	15.74548	291.6753	282.9866	272.4338	281.5596	291.6356	284.0033	142.03	99.53	61.27667	91.14333	88.75	97.86667	10.36308	
1990	6	7	2	2	3	12.6735	7	2	1918	1919	2012	2	1	6	1	48	1	1	3	1	72	0.07405751	12.6735	2326.658	1	31.83099	4586.648	2339.533	7.446733	541.1268	17	0.1459975	8.299138	0.03808812	4	38.31529	-79.22547	843.7128	0.01308778	0.1314863	275.3953	275.8867	278.2484	280.9609	285.5254	290.4938	292.5271	291.8576	288.3391	284.0379	279.6469	275.9529	274.382	272.0526	277.1616	279.9452	284.2836	290.9651	292.6422	291.3907	288.4359	283.3502	277.179	266.1315	67.22	71.83	61.06	68.45	143.92	46.88	105.25	114.12	57.23	205.66	30.71	115.24	56.9	54.73	87.34	92.17	152.59	155.48	124.5	146.11	125.76	106.83	66	44.78	23.26658	291.666	282.9884	272.4712	281.5782	291.6262	284.008	142.03	99.53	61.27667	91.14333	88.75	97.86667	68.92831	
1990	7	8	2	3	3	28.76513	8	1	1933	1935	2011	2	2	2	2	1	1	1	3	1	57	0.07466827	28.76513	1501.171	1	49.73592	4887.47	3848.481	8.414283	1094.19	22	0.2430828	11.32356	0.01237207	5	38.32188	-79.22275	717.661	1.240813	-0.1189929	274.1545	274.7528	277.0937	280.8348	285.8044	290.7289	292.7828	292.171	288.4146	283.3983	278.6969	274.8546	273.1444	271.0258	276.1298	279.9588	284.5992	291.1859	292.8942	291.7187	288.5027	282.7534	276.5112	265.8715	67.22	71.83	61.06	68.45	143.92	46.88	105.25	114.12	57.23	205.66	30.71	115.24	56.9	54.73	87.34	92.17	152.59	155.48	124.5	146.11	125.76	106.83	66	44.78	15.01171	291.933	282.5891	271.593	281.2443	291.8943	283.5033	142.03	99.53	61.27667	91.14333	88.75	97.86667	10.31273	
1990	8	9	3	2	3	136.218	9	2	1911	1912	2012	2	2	1	1	33	1	1	2	1	79	0.1939902	136.218	6094.57	1	31.83099	8045.044	6608.781	10.50652	859.4367	27	0.2560817	15.0594	0.1027481	6	36.7567	-81.30802	1151.468	0.0226561	-0.01868551	272.9522	272.9832	274.1198	277.7451	282.7671	287.7129	289.8044	289.098	285.5355	281.0115	277.0775	274.2255	271.9029	269.0933	273.0674	276.7822	281.445	288.2028	289.9262	288.6229	285.631	280.3521	274.6567	264.17	101.7	121.93	128.03	64.1	203.66	44.58	133.77	140.71	77.43	302.71	44.35	96.34	62.62	90.69	70.39	73.07	118.26	224.02	263.18	144.61	268.33	103.94	107.82	55.97	60.9457	288.9173	280.2133	270.0351	278.2106	288.8718	281.2082	210.6033	160.03	93.2	131.93	106.3533	141.4967	87.38193	
1990	9	10	4	1	2	348.6657	10	2	1953	1954	2012	1	2	3	1	36	1	1	2	1	37	0.2192376	348.6657	6887.765	1	31.83099	12535.55	6740.045	16.71165	954.9297	30	0.399019	21.17347	0.09933183	7	37.71701	-80.1116	885.8552	0.0074163	0.2365007	276.7263	276.5836	278.1053	280.6715	285.2705	290.172	292.2791	291.572	288.0678	283.907	279.9919	277.1234	275.7181	272.8459	277.0578	279.6957	284.0507	290.6377	292.3942	291.1066	288.1622	283.2379	277.5732	267.3907	80.78	110.79	64.56	70.44	160.73	51.81	96.86	97.67	62.72	183.96	37.63	126.85	72.72	51.43	72.87	102.91	142.35	171.06	150.91	108.13	219.51	119.4	77.32	66.47	68.87765	291.3795	282.9911	273.5669	281.3491	291.3411	283.9889	143.3667	138.7433	86.01333	98.57667	82.11333	94.77	277.8418	
1990	10	11	4	3	1	64.07742	11	1	1946	1948	2012	2	1	9	2	1	1	1	3	1	44	0.08616441	64.07742	2707.019	1	31.83099	12016.96	7024.602	16.57216	891.2677	28	0.3825116	22.70774	0.02413484	8	37.72533	-80.1077	666.932	0.3427531	-0.2145659	273.8544	276.0516	278.4906	281.8549	286.6672	291.5387	293.6415	292.9683	289.2612	284.4222	279.6512	275.4577	272.8513	272.3699	277.5195	280.967	285.5126	291.9849	293.749	292.5206	289.349	283.7732	277.4269	266.3774	80.78	110.79	64.56	70.44	160.73	51.81	96.86	97.67	62.72	183.96	37.63	126.85	72.72	51.43	72.87	102.91	142.35	171.06	150.91	108.13	219.51	119.4	77.32	66.47	27.07019	292.7515	283.5164	272.0945	282.3376	292.7162	284.4449	143.3667	138.7433	86.01333	98.57667	82.11333	94.77	44.57046	
1991	1	1	1	2	1	89.74062	1	2	1940	1941	2012	2	1	8	1	37	1	1	3	1	51	0.07202347	89.74062	2262.754	1	31.83099	9204.968	5406.706	13.48683	827.6057	26	0.2930032	14.71545	0.04141148	1	37.91899	-79.84276	994.1304	0.03211271	0.02124307	272.9046	275.4839	279.7832	285.1532	291.2255	292.6417	294.7878	293.6826	290.2102	285.0866	277.8033	275.5116	276.024	277.3024	280.8655	283.6193	287.7749	292.0156	293.754	293.3561	290.1398	285.4807	280.4558	276.4743	92.45	73.73	174.74	63.57	71.91	66.31	211.66	49.17	41.7	45.22	89.42	158.98	97.85	94.84	66.13	98.98	164.44	54.84	135.72	93.45	51.64	239.31	40.44	136.58	22.62754	293.0419	285.3588	274.9543	285.3873	293.704	284.3667	94.67	110.4633	100.92	103.4067	109.0467	58.78	108.893	
