Note: [none]
Total # of Iterations:	1e+05	
Sample size:	173	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-1196.454	36	2484.496	2464.908	1.007466	0.8774524	
Model:	overall.model
PDF:	dnorm
Support interval range:	1.92

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
aa	0.8497564	0.8327612	0.8582539	N/A	0	1	0.02461774	
ab	0.0002740531	0.0002548694	0.0002995342	N/A	0	1000	5.058866e-05	
gmax	10000	9700	10000	N/A	0	10000	1128.748	
ca	4.543114	3.407335	7.119387	N/A	0	2000	1.609177	
cb	968.5343	736.0861	1000	N/A	0	1000	150	
cc	3.520531	3.414915	3.661353	N/A	0	5	0.0803268	
cd	3.521843	0	5	N/A	0	5	5	
ce	514.0753	0	1000	N/A	0	1000	1000	
cf	664.4583	-100	1000	N/A	-100	1000	1100	
cg	479.4889	-1000	1000	N/A	-1000	1000	2000	
ta11	320.1506	250	325	N/A	250	325	75	
ta12	297.6703	297.6703	297.6703	N/A	250	325	0.4866112	
ta13	275.036	272.2856	275.036	N/A	250	325	75	
ta14	295.592	250	325	N/A	250	325	4.525253	
ta15	301.7786	250	325	N/A	250	325	27.42857	
ta16	324.7977	250	325	N/A	250	325	75	
tb11	456.3409	177.9729	500	N/A	0	500	500	
tb12	17.11399	16.60057	18.76432	N/A	0	500	0.2513724	
tb13	11.58487	9.731288	28.19098	N/A	0	500	500	
tb14	335.7506	137.6577	500	N/A	0	500	15.80247	
tb15	385.5267	177.3423	500	N/A	0	500	58.92256	
tb16	375.9625	146.6254	500	N/A	0	500	500	
pa11	303.8039	279.4996	314.6898	N/A	0	500	9.000366	
pa12	116.1672	104.5504	127.3288	N/A	0	500	14.15568	
pa13	0.003624864	0	383.1298	N/A	0	500	500	
pa14	3.326751	0	72.0996	N/A	0	500	500	
pa15	1.08066e-08	0	40.88663	N/A	0	500	33.90842	
pa16	0.02778489	0	363.6191	N/A	0	500	229.1667	
pb11	294.7175	282.9288	338.5915	N/A	0	2000	10.94311	
pb12	116.6703	102.6699	161.8702	N/A	0	2000	23.75093	
pb13	1343.268	416.4132	2000	N/A	0	2000	2000	
pb14	304.5876	268.0371	725.0499	N/A	0	2000	564.3739	
pb15	249.1002	224.1901	361.1577	N/A	0	2000	49.22442	
pb16	1310.142	458.5498	2000	N/A	0	2000	311.6883	
pc1	0.5697274	0	1	N/A	0	1	1	
sd	246.7496	227.0176	266.7496	N/A	0.1	1000	16.96595	

Non-varying parameters:
Label	Value
SIZE	BA.tree.cm2	
BA.PLOT	BA.m2ha.plot.live	
RS	RelBA	
TEMP	[dataset removed]	
PRECIP	[dataset removed]	
FLOW	flow	
x	BAI	
mean	predicted	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
3	0.95	20	100

Variance - Covariance Matrix:
[could not be calculated - Hessian matrix is singular]

Source data
Year	PlotID	TreeID	Site	Trans	Plot	BAI	CoreID	Pith	Pith.Yr	Inner	Outer	Bark	Use	Notes	Pith.offset	Tree	Spp	Genus	Canopy	Live	Age	BA.m2ha	BAI.filled	BA.tree	Stems	Density.Ha	BAI.filled.plot	BA.plot	BA.m2ha.plot	Density.ha.plot	Stems.plot	BAI.m2ha.plot	BA.m2ha.plot.live	RelBA	Site.Trans	Latitude	Longitude	elev	flow	TPI	Tavg.X01	Tavg.X02	Tavg.X03	Tavg.X04	Tavg.X05	Tavg.X06	Tavg.X07	Tavg.X08	Tavg.X09	Tavg.X10	Tavg.X11	Tavg.X12	Tavg.X01.prev	Tavg.X02.prev	Tavg.X03.prev	Tavg.X04.prev	Tavg.X05.prev	Tavg.X06.prev	Tavg.X07.prev	Tavg.X08.prev	Tavg.X09.prev	Tavg.X10.prev	Tavg.X11.prev	Tavg.X12.prev	Precip.X01	Precip.X02	Precip.X03	Precip.X04	Precip.X05	Precip.X06	Precip.X07	Precip.X08	Precip.X09	Precip.X10	Precip.X11	Precip.X12	Precip.X01.prev	Precip.X02.prev	Precip.X03.prev	Precip.X04.prev	Precip.X05.prev	Precip.X06.prev	Precip.X07.prev	Precip.X08.prev	Precip.X09.prev	Precip.X10.prev	Precip.X11.prev	Precip.X12.prev	BA.tree.cm2	Tavg.pX06.pX08	Tavg.pX09.pX11	Tavg.pX12.X02	Tavg.X03.X05	Tavg.X06.X08	Tavg.X09.X11	Precip.pX06.pX08	Precip.pX09.pX11	Precip.pX12.X02	Precip.X03.X05	Precip.X06.X08	Precip.X09.X11	predicted	
1990	1	1	1	2	2	2117.7	1	1	1845	1865	2012	1	2	6	20	37	1	1	2	1	145	3.357605	2117.7	105485.5	1	31.83099	15444.8	8514.444	15.12022	1145.916	36	0.4916232	23.89591	1	1	37.91985	-79.84246	997.5121	0.03488264	-0.09616352	276.0291	277.3879	281.0008	283.7523	287.8702	292.0803	293.8039	293.425	290.2339	285.5634	280.5035	276.5025	275.0652	273.8544	279.9412	282.772	286.8311	292.5364	293.8948	293.0158	290.3213	284.9171	278.0511	267.3478	97.85	94.84	66.13	98.98	164.44	54.84	135.72	93.45	51.64	239.31	40.44	136.58	64.67	118.16	118.86	137.43	205.95	171.94	165.92	116.36	190.39	126.37	78.89	47.12	1054.855	293.149	284.4298	273.5883	284.2077	293.1031	285.4336	151.4067	131.8833	79.93667	109.85	94.67	110.4633	1994.738	
1990	2	2	1	3	4	27.6834	2	1	1932	1934	2009	1	2	4	2	37	1	1	3	1	58	0.1986553	27.6834	6241.133	1	31.83099	8260.265	4764.966	14.20284	859.4367	27	0.2629324	14.50827	0.1417839	2	37.91554	-79.83873	868.6189	0.04166063	-0.09718033	276.2396	277.6642	281.0742	283.8732	288.1261	292.4824	294.2776	293.8455	290.5096	285.7745	280.763	276.7795	275.2763	274.1171	280.0254	282.8991	287.076	292.9342	294.3711	293.4281	290.5971	285.124	278.3446	267.6936	97.85	94.84	66.13	98.98	164.44	54.84	135.72	93.45	51.64	239.31	40.44	136.58	64.67	118.16	118.86	137.43	205.95	171.94	165.92	116.36	190.39	126.37	78.89	47.12	62.41133	293.5778	284.6886	273.8658	284.3578	293.5352	285.6824	151.4067	131.8833	79.93667	109.85	94.67	110.4633	171.763	
1990	3	3	2	1	1	1309.061	3	1	1908	1912	2012	1	2	3	4	13	1	1	1	1	82	1.456017	1309.061	45743.55	1	31.83099	13273.36	6974.387	21.22882	509.2958	16	0.422504	21.24357	0.4155511	3	38.31762	-79.23926	941.822	0.008083133	0.1976616	276.148	277.0713	279.6624	282.0164	286.2848	290.9854	292.8721	292.335	289.0169	284.8325	280.3521	276.776	275.1405	273.2869	278.5507	280.9824	285.1085	291.4533	292.9797	291.888	289.1132	284.1426	277.8034	266.8594	67.82	73.41	61.28	68.67	144.9	48.47	107.87	116.84	58.41	206.42	31.56	117.7	58.45	55.35	89.25	94.33	153.99	159.64	126.41	148.43	125.83	108.01	68.38	46.46	457.4355	292.107	283.6864	273.3596	282.6545	292.0642	284.7338	144.8267	100.74	62.56333	91.61667	91.06	98.79667	1347.855	
1990	4	4	3	2	1	475.8727	4	1	1910	1912	2012	1	2	2	2	31	1	1	1	1	80	0.3580012	475.8727	11247.29	1	31.83099	9284.385	6627.148	10.75066	1018.592	32	0.2955312	15.60742	0.1710809	4	36.7579	-81.3064	1114.838	0.0279629	-0.07959976	272.186	272.9146	274.5188	278.1862	283.1678	288.0754	290.1523	289.4694	285.9082	281.3358	277.1102	273.7794	271.1366	269.0194	273.4715	277.2323	281.8692	288.5603	290.272	288.999	286.0027	280.6776	274.7028	263.762	101.7	121.93	128.03	64.1	203.66	44.58	133.77	140.71	77.43	302.71	44.35	96.34	62.62	90.69	70.39	73.07	118.26	224.02	263.18	144.61	268.33	103.94	107.82	55.97	112.4729	289.2771	280.461	269.6209	278.6243	289.2324	281.4514	210.6033	160.03	93.2	131.93	106.3533	141.4967	354.6125	
1990	5	5	3	3	1	118.6567	5	2	1913	1914	2012	1	2	1	1	25	1	1	1	1	77	0.3374473	118.6567	10601.55	1	31.83099	14944.91	11508.95	14.96156	1336.902	42	0.4757112	21.01574	0.1415791	5	36.76212	-81.30692	1000.51	0.07691931	-0.1967007	273.6459	275.4388	277.5438	280.3401	284.8905	289.6368	291.6171	291.0167	287.6164	283.2472	278.832	275.0675	272.5895	271.5125	276.4516	279.3589	283.6596	290.1111	291.7279	290.5663	287.7121	282.5615	276.3718	265.0735	101.7	121.93	128.03	64.1	203.66	44.58	133.77	140.71	77.43	302.71	44.35	96.34	62.62	90.69	70.39	73.07	118.26	224.02	263.18	144.61	268.33	103.94	107.82	55.97	106.0155	290.8018	282.2152	271.386	280.9248	290.7569	283.2319	210.6033	160.03	93.2	131.93	106.3533	141.4967	144.6854	
1990	6	6	4	1	1	66.95716	6	1	1955	1958	2012	1	1	7	3	18	1	1	4	1	35	0.07543601	66.95716	2369.966	1	31.83099	10745.35	8342.988	19.368	668.4508	21	0.342035	25.84046	0.01096733	6	37.71746	-80.1106	877.0418	0.007794109	0.1819402	276.2958	276.1789	277.7268	280.4529	285.1195	290.0423	292.17	291.4568	287.9137	283.6964	279.7402	276.7994	275.289	272.4496	276.6931	279.4887	283.8939	290.508	292.2862	290.9886	288.0073	283.0334	277.3477	267.1151	80.78	110.79	64.56	70.44	160.73	51.81	96.86	97.67	62.72	183.96	37.63	126.85	72.72	51.43	72.87	102.91	142.35	171.06	150.91	108.13	219.51	119.4	77.32	66.47	23.69966	291.261	282.7961	273.1966	281.0997	291.223	283.7834	143.3667	138.7433	86.01333	98.57667	82.11333	94.77	8.44068	
1990	7	7	4	2	2	124.1656	7	2	1953	1954	2012	1	1	7	1	6	1	1	4	1	37	0.1302103	124.1656	4090.803	1	31.83099	8417.379	5921.791	7.755252	763.9437	24	0.2679335	15.29441	0.05883342	7	37.72218	-80.10972	744.2226	0.2248697	-0.1103151	272.9463	273.5127	275.6958	280.072	285.3437	290.2712	292.4507	291.744	287.8357	282.6392	277.9433	274.2248	271.9567	269.909	274.7982	279.2493	284.1628	290.721	292.5632	291.2846	287.9186	282.0339	275.8453	265.4109	80.78	110.79	64.56	70.44	160.73	51.81	96.86	97.67	62.72	183.96	37.63	126.85	72.72	51.43	72.87	102.91	142.35	171.06	150.91	108.13	219.51	119.4	77.32	66.47	40.90803	291.5229	281.9326	270.6233	280.3705	291.4886	282.806	143.3667	138.7433	86.01333	98.57667	82.11333	94.77	9.158031	
1990	7	8	4	2	2	1016.054	8	1	1908	1911	2012	1	2	5	3	14	1	1	1	1	82	1.578313	1016.054	49585.7	1	31.83099	8417.379	5921.791	7.755252	763.9437	24	0.2679335	15.29441	0.7131354	7	37.72218	-80.10972	744.2226	0.2248697	-0.1103151	272.9463	273.5127	275.6958	280.072	285.3437	290.2712	292.4507	291.744	287.8357	282.6392	277.9433	274.2248	271.9567	269.909	274.7982	279.2493	284.1628	290.721	292.5632	291.2846	287.9186	282.0339	275.8453	265.4109	80.78	110.79	64.56	70.44	160.73	51.81	96.86	97.67	62.72	183.96	37.63	126.85	72.72	51.43	72.87	102.91	142.35	171.06	150.91	108.13	219.51	119.4	77.32	66.47	495.857	291.5229	281.9326	270.6233	280.3705	291.4886	282.806	143.3667	138.7433	86.01333	98.57667	82.11333	94.77	1138.687	
1991	1	1	1	2	2	952.781	1	1	1845	1865	2012	1	2	6	20	37	1	1	2	1	146	3.387932	952.781	106438.3	1	31.83099	12924.87	8662.247	15.4106	1177.747	37	0.4114115	24.30732	1	1	37.91985	-79.84246	997.5121	0.03488264	-0.09616352	272.9113	275.5738	279.9198	285.284	291.3019	292.7061	294.8311	293.7497	290.3043	285.1696	277.8555	275.5424	276.0291	277.3879	281.0008	283.7523	287.8702	292.0803	293.8039	293.425	290.2339	285.5634	280.5035	276.5025	92.45	73.73	174.74	63.57	71.91	66.31	211.66	49.17	41.7	45.22	89.42	158.98	97.85	94.84	66.13	98.98	164.44	54.84	135.72	93.45	51.64	239.31	40.44	136.58	1064.383	293.1031	285.4336	274.9959	285.5019	293.7623	284.4432	94.67	110.4633	100.92	103.4067	109.0467	58.78	1866.346	
1991	2	2	1	3	4	38.5336	2	1	1932	1934	2009	1	2	4	2	37	1	1	3	1	59	0.1998818	38.5336	6279.667	1	31.83099	6952.564	4844.335	14.41441	859.4367	27	0.221307	14.72957	0.1399357	2	37.91554	-79.83873	868.6189	0.04166063	-0.09718033	273.1239	275.8432	280.0043	285.3952	291.5942	293.1024	295.3338	294.1766	290.5801	285.3782	278.1518	275.8266	276.2396	277.6642	281.0742	283.8732	288.1261	292.4824	294.2776	293.8455	290.5096	285.7745	280.763	276.7795	92.45	73.73	174.74	63.57	71.91	66.31	211.66	49.17	41.7	45.22	89.42	158.98	97.85	94.84	66.13	98.98	164.44	54.84	135.72	93.45	51.64	239.31	40.44	136.58	62.79667	293.5352	285.6824	275.2488	285.6646	294.2042	284.7034	94.67	110.4633	100.92	103.4067	109.0467	58.78	147.6404	
