Note: [none]
Total # of Iterations:	1e+05	
Sample size:	220	
Maximum likelihood:	# Parameters:	AIC corr:	AIC:	Slope:	R2:
-1679.057	36	3444.671	3430.114	0.9981399	0.7894569	
Model:	overall.model
PDF:	dnorm
Support interval range:	1.92

Varying parameters:
Label	MLE	Lower S.I.	Upper S.I.	Std Err	Lower Bound	Upper Bound	Final step size
aa	1	0.92	1	N/A	0	1	0.8928571	
ab	0.01331884	0.00812449	0.01871876	N/A	0	1000	0.003433774	
gmax	10000	9500	10000	N/A	0	10000	6400	
ca	108.8543	100.146	120.2012	N/A	0	2000	13.8931	
cb	157.5654	137.0819	177.7839	N/A	0	1000	16.50211	
cc	5	4.9	5	N/A	0	5	3.333333	
cd	4.082193	4.000549	4.163837	N/A	0	5	0.0530328	
ce	113.737	103.5007	126.1447	N/A	0	1000	9.643472	
cf	501.1853	429.043	571.0193	N/A	-100	1000	229.6107	
cg	-0.330827	-0.3491526	-0.309413	N/A	-1000	1000	0.009592193	
ta11	250.5587	250	325	N/A	250	325	6	
ta12	297.5863	250	325	N/A	250	325	54.6875	
ta13	306.5141	250	321.8398	N/A	250	325	75	
ta14	323.739	250	325	N/A	250	325	75	
ta15	294.7265	294.7265	294.7265	N/A	250	325	0.4609353	
ta16	291.3816	291.3816	291.3816	N/A	250	325	0.2823322	
tb11	157.2231	95.9061	500	N/A	0	500	12.12121	
tb12	250.2706	90.09741	500	N/A	0	500	179.5735	
tb13	126.0936	59.264	500	N/A	0	500	500	
tb14	499.991	89.99838	500	N/A	0	500	500	
tb15	5.504236	4.623558	6.251572	N/A	0	500	0.9483191	
tb16	7.3833	7.014135	7.580347	N/A	0	500	0.2011413	
pa11	113.2228	100.7683	123.2228	N/A	0	500	6.568256	
pa12	477.1435	0	500	N/A	0	500	500	
pa13	5.229718e-15	0	41.07748	N/A	0	500	500	
pa14	59.31671	0	190.6403	N/A	0	500	500	
pa15	142.4751	129.6523	146.7494	N/A	0	500	6.991565	
pa16	206.2033	185.583	214.1413	N/A	0	500	6.033231	
pb11	82.77589	71.18726	141.9481	N/A	0	2000	9.111451	
pb12	1999.831	419.9645	2000	N/A	0	2000	2000	
pb13	367.864	235.4329	2000	N/A	0	2000	2000	
pb14	279.1682	240.0846	2000	N/A	0	2000	2000	
pb15	87.87492	82.60242	109.6324	N/A	0	2000	12.11496	
pb16	191.6398	180.1414	222.49	N/A	0	2000	21.59976	
pc1	0.03988765	0	1	N/A	0	1	1	
sd	494.7602	465.0806	540.127	N/A	0.1	1000	31.09528	

Non-varying parameters:
Label	Value
SIZE	BA.tree.cm2	
BA.PLOT	BA.m2ha.plot.live	
RS	RelBA	
TEMP	[dataset removed]	
PRECIP	[dataset removed]	
FLOW	flow	
x	BAI	
mean	predicted	
log	TRUE	


Annealing regime:
Initial temp	Rt	ns	nt
3	0.95	20	100

Variance - Covariance Matrix:
[could not be calculated - Hessian matrix is singular]

Source data
Year	PlotID	TreeID	Site	Trans	Plot	BAI	CoreID	Pith	Pith.Yr	Inner	Outer	Bark	Use	Notes	Pith.offset	Tree	Spp	Genus	Canopy	Live	Age	BA.m2ha	BAI.filled	BA.tree	Stems	Density.Ha	BAI.filled.plot	BA.plot	BA.m2ha.plot	Density.ha.plot	Stems.plot	BAI.m2ha.plot	BA.m2ha.plot.live	RelBA	Site.Trans	Latitude	Longitude	elev	flow	TPI	Tavg.X01	Tavg.X02	Tavg.X03	Tavg.X04	Tavg.X05	Tavg.X06	Tavg.X07	Tavg.X08	Tavg.X09	Tavg.X10	Tavg.X11	Tavg.X12	Tavg.X01.prev	Tavg.X02.prev	Tavg.X03.prev	Tavg.X04.prev	Tavg.X05.prev	Tavg.X06.prev	Tavg.X07.prev	Tavg.X08.prev	Tavg.X09.prev	Tavg.X10.prev	Tavg.X11.prev	Tavg.X12.prev	Precip.X01	Precip.X02	Precip.X03	Precip.X04	Precip.X05	Precip.X06	Precip.X07	Precip.X08	Precip.X09	Precip.X10	Precip.X11	Precip.X12	Precip.X01.prev	Precip.X02.prev	Precip.X03.prev	Precip.X04.prev	Precip.X05.prev	Precip.X06.prev	Precip.X07.prev	Precip.X08.prev	Precip.X09.prev	Precip.X10.prev	Precip.X11.prev	Precip.X12.prev	BA.tree.cm2	Tavg.pX06.pX08	Tavg.pX09.pX11	Tavg.pX12.X02	Tavg.X03.X05	Tavg.X06.X08	Tavg.X09.X11	Precip.pX06.pX08	Precip.pX09.pX11	Precip.pX12.X02	Precip.X03.X05	Precip.X06.X08	Precip.X09.X11	predicted	
1990	1	1	1	1	4	770.8505	1	1	1933	1939	2012	1	1	5	6	8	1	1	1	1	57	0.3537683	770.8505	11114.31	1	31.83099	13920.99	8116.357	15.76474	700.2817	22	0.4431189	20.84607	0.1668677	1	37.91874	-79.84931	1146.939	0.01342732	0.1730398	274.3585	275.4004	279.2866	282.7861	287.3289	291.435	293.1359	292.7526	289.3678	284.3822	279.2371	275.06	273.4305	272.0052	278.2654	281.8385	286.3336	291.8859	293.2211	292.3449	289.4471	283.7793	276.7884	266.0709	97.85	94.84	66.13	98.98	164.44	54.84	135.72	93.45	51.64	239.31	40.44	136.58	64.67	118.16	118.86	137.43	205.95	171.94	165.92	116.36	190.39	126.37	78.89	47.12	111.1431	292.484	283.3383	271.9433	283.1339	292.4412	284.329	151.4067	131.8833	79.93667	109.85	94.67	110.4633	694.5512	
1990	2	2	1	2	2	906.3397	2	1	1936	1953	2012	1	2	8	17	10	1	1	1	1	54	0.5822968	906.3397	18293.96	1	31.83099	15444.8	8514.444	15.12022	1145.916	36	0.4916232	23.89591	0.1734263	2	37.91985	-79.84246	997.5121	0.03488264	-0.09616352	276.0291	277.3879	281.0008	283.7523	287.8702	292.0803	293.8039	293.425	290.2339	285.5634	280.5035	276.5025	275.0652	273.8544	279.9412	282.772	286.8311	292.5364	293.8948	293.0158	290.3213	284.9171	278.0511	267.3478	97.85	94.84	66.13	98.98	164.44	54.84	135.72	93.45	51.64	239.31	40.44	136.58	64.67	118.16	118.86	137.43	205.95	171.94	165.92	116.36	190.39	126.37	78.89	47.12	182.9396	293.149	284.4298	273.5883	284.2077	293.1031	285.4336	151.4067	131.8833	79.93667	109.85	94.67	110.4633	866.0673	
1990	3	3	2	2	2	91.80393	3	2	1953	1954	2013	1	1	4	1	4	1	1	3	1	37	0.0356821	91.80393	1121.021	1	31.83099	13445.82	4331.581	13.66629	891.2677	28	0.4279937	14.11023	0.01806872	3	37.23649	-80.85878	1006.101	0.03159261	-0.04174077	274.9297	276.0665	280.4555	284.44	288.9368	292.8558	294.4928	294.2167	290.7966	285.3351	279.8205	275.496	274.0616	272.9866	279.5313	283.5642	288.0368	293.2926	294.571	293.8267	290.8684	284.7788	277.5783	267.5509	91.97	115.9	93.61	58.23	209.88	54.73	152.21	174.34	76.73	179.2	49.25	111.49	49.05	66.11	73.01	107.26	115.95	158.4	154.89	142.08	219.06	128.58	96.77	60.02	11.21021	293.8967	284.4085	272.849	284.6108	293.8551	285.3174	151.79	148.1367	89.29667	120.5733	127.0933	101.7267	221.9093	
1990	4	4	3	1	1	2178.603	4	2	1889	1890	2012	1	2	1	1	12	1	1	1	1	101	0.9471459	2178.603	66936.11	1	14.14711	23098.57	16604.92	17.97307	537.59	38	0.326778	21.13155	0.311389	4	38.56657	-79.16857	1094.132	0.008329372	0.205676	276.4642	277.6512	280.5345	282.6362	286.6085	291.042	292.7719	292.3665	289.2816	285.2051	280.6658	276.999	275.4584	273.9129	279.4056	281.5921	285.4799	291.5099	292.8726	291.9403	289.3779	284.5161	278.0612	267.0105	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	62.54	49.98	110.04	90.67	146.24	152.63	164.73	184.86	107.82	92.57	76.21	50.44	669.3611	292.1076	283.985	273.7086	283.2597	292.0601	285.0508	167.4067	92.2	57.96333	85.46	95.66667	89.76	1334.287	
1990	4	5	3	1	1	678.5305	5	1	1914	1916	2012	1	2	3	2	24	1	1	1	1	76	1.114592	678.5305	78769.74	1	14.14711	23098.57	16604.92	17.97307	537.59	38	0.326778	21.13155	0.3664394	4	38.56657	-79.16857	1094.132	0.008329372	0.205676	276.4642	277.6512	280.5345	282.6362	286.6085	291.042	292.7719	292.3665	289.2816	285.2051	280.6658	276.999	275.4584	273.9129	279.4056	281.5921	285.4799	291.5099	292.8726	291.9403	289.3779	284.5161	278.0612	267.0105	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	62.54	49.98	110.04	90.67	146.24	152.63	164.73	184.86	107.82	92.57	76.21	50.44	787.6974	292.1076	283.985	273.7086	283.2597	292.0601	285.0508	167.4067	92.2	57.96333	85.46	95.66667	89.76	1964.837	
1990	5	6	3	1	3	1813.526	6	1	1833	1838	2012	1	2	9	5	11	1	1	1	1	157	3.259911	1813.526	230382.4	1	14.14711	17587.31	18372.22	18.37787	183.9124	13	0.2488095	27.50751	0.6398788	4	38.56833	-79.16862	1102.65	0.00787903	0.2099813	276.7419	277.3436	279.5511	281.5464	285.6551	290.2475	292.0624	291.5863	288.437	284.5243	280.334	277.1805	275.7139	273.4986	278.4063	280.4951	284.4673	290.7214	292.1695	291.1455	288.5356	283.8225	277.7063	266.939	60.25	63.2	52.08	57.34	146.96	56.51	121.6	108.89	75.81	160.58	32.89	119.52	62.54	49.98	110.04	90.67	146.24	152.63	164.73	184.86	107.82	92.57	76.21	50.44	2303.824	291.3455	283.3548	273.6748	282.2509	291.2987	284.4318	167.4067	92.2	57.96333	85.46	95.66667	89.76	2764.474	
1990	6	7	4	1	1	310.6445	7	1	1916	1918	2012	1	2	2	2	8	1	1	1	1	74	1.16481	310.6445	36594.73	1	31.83099	6000.593	3705.667	10.81419	286.4789	9	0.1910048	53.11802	0.2962825	5	36.7531	-81.30619	1242.081	0.007867764	0.116471	276.2047	275.6936	276.5782	278.6153	283.0566	287.9562	289.9716	289.2583	286.0234	282.3134	278.8292	276.6019	275.1465	271.6788	275.3841	277.5178	281.7119	288.4549	290.0902	288.784	286.1272	281.5917	276.1172	265.9289	101.7	121.93	128.03	64.1	203.66	44.58	133.77	140.71	77.43	302.71	44.35	96.34	62.62	90.69	70.39	73.07	118.26	224.02	263.18	144.61	268.33	103.94	107.82	55.97	365.9473	289.1097	281.2787	272.609	279.4167	289.062	282.3886	210.6033	160.03	93.2	131.93	106.3533	141.4967	172.7185	
1990	7	8	4	1	3	476.2784	8	2	1975	1976	2012	1	1	7	1	6	1	1	1	1	15	0.1134854	476.2784	3565.36	1	31.83099	9697.616	4134.703	4.219207	891.2677	28	0.3086847	6.07528	0.05604816	5	36.75242	-81.30829	1256.673	0.007666207	0.1800234	276.3539	275.8377	276.7963	278.7908	283.2498	288.11	290.1066	289.3902	286.1375	282.4142	278.9143	276.6708	275.301	271.8314	275.5903	277.6852	281.9246	288.6053	290.2217	288.9197	286.2404	281.6915	276.1747	266.0073	101.7	121.93	128.03	64.1	203.66	44.58	133.77	140.71	77.43	302.71	44.35	96.34	62.62	90.69	70.39	73.07	118.26	224.02	263.18	144.61	268.33	103.94	107.82	55.97	35.6536	289.2489	281.3689	272.733	279.6123	289.2023	282.4887	210.6033	160.03	93.2	131.93	106.3533	141.4967	224.5639	
1990	8	9	4	2	2	123.3534	9	1	1915	1917	2012	1	1	7	2	10	1	1	1	1	75	0.0920612	123.3534	2892.278	1	31.83099	8503.116	6187.651	9.876577	763.9437	24	0.2706626	13.70111	0.05953945	6	36.75741	-81.30741	1129.348	0.0256407	-0.05699014	272.3267	272.8027	274.2102	277.9511	282.9834	287.9089	289.9948	289.3011	285.7213	281.1224	277.0077	273.8412	271.2787	268.9185	273.1669	276.999	281.677	288.3953	290.1153	288.8288	285.8157	280.4668	274.6057	263.8338	101.7	121.93	128.03	64.1	203.66	44.58	133.77	140.71	77.43	302.71	44.35	96.34	62.62	90.69	70.39	73.07	118.26	224.02	263.18	144.61	268.33	103.94	107.82	55.97	28.92278	289.1131	280.2961	269.6544	278.3816	289.0683	281.2838	210.6033	160.03	93.2	131.93	106.3533	141.4967	96.43431	
1990	9	10	5	2	1	61.2181	10	1	1963	1966	2012	1	1	6	3	47	1	1	2	1	27	0.05031218	61.2181	1580.653	1	31.83099	9626.957	5587.276	6.645622	923.0987	29	0.3064356	12.99774	0.02255113	7	37.72242	-80.1086	738.0771	0.2374777	-0.09343816	272.8179	273.4234	275.5305	279.977	285.2873	290.229	292.4211	291.7036	287.7731	282.5418	277.8926	274.1381	271.8314	269.8418	274.6442	279.1632	284.1054	290.6785	292.5339	291.243	287.8552	281.9418	275.8152	265.3826	80.78	110.79	64.56	70.44	160.73	51.81	96.86	97.67	62.72	183.96	37.63	126.85	72.72	51.43	72.87	102.91	142.35	171.06	150.91	108.13	219.51	119.4	77.32	66.47	15.80653	291.4851	281.8707	270.5413	280.2649	291.4512	282.7358	143.3667	138.7433	86.01333	98.57667	82.11333	94.77	160.2886	
